id,dataset_name,domain,store_name,split,category,prompt,response
ecs_0011,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,"Hey support, I cannot log in to my account because the password reset link is not working. I am a first-time customer. Can you check this for me?","Please confirm that you are using the correct registered email or phone number, then try the reset password or OTP option. If login still fails after clearing cache or trying another browser, contact support for further verification."
ecs_0012,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,"Hi, I cannot log in to my account because I am not receiving the OTP. This is my first order on your platform. What should I do?","Please use Forgot Password or the OTP login option first and make sure you are using the registered email address or phone number. If you still cannot log in, clear the app cache, try again, and contact support if the issue continues."
ecs_0013,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,"Hi, How do I recover access to my account if login is failing? I order from your app regularly. Please advise.","Start with password reset or OTP login using your registered contact details. If the OTP does not arrive or the app keeps failing, clear cache or try the website version before contacting support for account assistance."
ecs_0014,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,"Good evening, How do I recover access to my account if login is failing? I am a first-time customer. Can you check this for me?","Please confirm that you are using the correct registered email or phone number, then try the reset password or OTP option. If login still fails after clearing cache or trying another browser, contact support for further verification."
ecs_0015,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,"Good morning, I am locked out of my shopping account and need help getting back in. I am a first-time customer. What should I do?","Start with password reset or OTP login using your registered contact details. If the OTP does not arrive or the app keeps failing, clear cache or try the website version before contacting support for account assistance."
ecs_0016,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,"Hello, I am locked out of my shopping account and need help getting back in. I use your website often. What should I do?","Please confirm that you are using the correct registered email or phone number, then try the reset password or OTP option. If login still fails after clearing cache or trying another browser, contact support for further verification."
ecs_0017,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,"Hi, I am locked out of my shopping account and need help getting back in. Please help.","Please use Forgot Password or the OTP login option first and make sure you are using the registered email address or phone number. If you still cannot log in, clear the app cache, try again, and contact support if the issue continues."
ecs_0018,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,"Good evening, I cannot log in to my account because I keep getting an invalid credentials message. I use your website often. Kindly guide me.","Please use Forgot Password or the OTP login option first and make sure you are using the registered email address or phone number. If you still cannot log in, clear the app cache, try again, and contact support if the issue continues."
ecs_0019,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,"Good evening, I am locked out of my shopping account and need help getting back in. I use your website often. Please help.","Please confirm that you are using the correct registered email or phone number, then try the reset password or OTP option. If login still fails after clearing cache or trying another browser, contact support for further verification."
ecs_0020,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,The app is not letting me sign in even though I am using the correct details. I am a first-time customer. Please advise.,"Please confirm that you are using the correct registered email or phone number, then try the reset password or OTP option. If login still fails after clearing cache or trying another browser, contact support for further verification."
ecs_0021,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,"Hey support, I cannot log in to my account because I am not receiving the OTP. I order from your app regularly. Can you check this for me?","Please confirm that you are using the correct registered email or phone number, then try the reset password or OTP option. If login still fails after clearing cache or trying another browser, contact support for further verification."
ecs_0022,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,"Good evening, I cannot log in to my account because I am not receiving the OTP. I am a first-time customer. Please help.","Please confirm that you are using the correct registered email or phone number, then try the reset password or OTP option. If login still fails after clearing cache or trying another browser, contact support for further verification."
ecs_0023,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,"Good evening, How do I recover access to my account if login is failing? I order from your app regularly. What should I do?","Please confirm that you are using the correct registered email or phone number, then try the reset password or OTP option. If login still fails after clearing cache or trying another browser, contact support for further verification."
ecs_0024,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,"Good morning, I am locked out of my shopping account and need help getting back in. I use your website often. Can you check this for me?","Start with password reset or OTP login using your registered contact details. If the OTP does not arrive or the app keeps failing, clear cache or try the website version before contacting support for account assistance."
ecs_0025,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,"Good evening, The app is not letting me sign in even though I am using the correct details. I use your website often. I need support with this.","Please use Forgot Password or the OTP login option first and make sure you are using the registered email address or phone number. If you still cannot log in, clear the app cache, try again, and contact support if the issue continues."
ecs_0026,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,"Good evening, I am locked out of my shopping account and need help getting back in. Please help.","Start with password reset or OTP login using your registered contact details. If the OTP does not arrive or the app keeps failing, clear cache or try the website version before contacting support for account assistance."
ecs_0027,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,"Good morning, I cannot log in to my account because the password reset link is not working. Kindly guide me.","Please confirm that you are using the correct registered email or phone number, then try the reset password or OTP option. If login still fails after clearing cache or trying another browser, contact support for further verification."
ecs_0028,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,"Good morning, The app is not letting me sign in even though I am using the correct details. I am a first-time customer. Can you check this for me?","Start with password reset or OTP login using your registered contact details. If the OTP does not arrive or the app keeps failing, clear cache or try the website version before contacting support for account assistance."
ecs_0029,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,"Good morning, The app is not letting me sign in even though I am using the correct details. I need support with this.","Please confirm that you are using the correct registered email or phone number, then try the reset password or OTP option. If login still fails after clearing cache or trying another browser, contact support for further verification."
ecs_0030,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,I am locked out of my shopping account and need help getting back in. This is my first order on your platform. Please advise.,"Please confirm that you are using the correct registered email or phone number, then try the reset password or OTP option. If login still fails after clearing cache or trying another browser, contact support for further verification."
ecs_0031,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,"Hey support, I am locked out of my shopping account and need help getting back in. I am a first-time customer. What should I do?","Please confirm that you are using the correct registered email or phone number, then try the reset password or OTP option. If login still fails after clearing cache or trying another browser, contact support for further verification."
ecs_0032,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,"Good morning, I am locked out of my shopping account and need help getting back in. This is my first order on your platform. Kindly guide me.","Please use Forgot Password or the OTP login option first and make sure you are using the registered email address or phone number. If you still cannot log in, clear the app cache, try again, and contact support if the issue continues."
ecs_0041,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,"Good morning, I want to update my delivery address before the order ships. I order from your app regularly. Please advise.","Please try updating the address from My Orders while the order is still in Confirmed or Processing status. If the shipment has already started, the address cannot be changed anymore."
ecs_0042,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,"Hey support, I want to update my delivery address before the order ships. This is my first order on your platform. Kindly guide me.","Please try updating the address from My Orders while the order is still in Confirmed or Processing status. If the shipment has already started, the address cannot be changed anymore."
ecs_0043,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,"Good evening, I want to update my delivery address before the order ships. I am a first-time customer. Kindly guide me.","Address updates are allowed only until shipment. Open the order details page and edit the address if that option is visible; once the order is shipped, the delivery address cannot be modified."
ecs_0044,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,"Hi, The pin code on my order is wrong and I need to correct the address. I order from your app regularly. Please help.","You can change the delivery address only before the order is shipped. Please check My Orders for the edit option, and if the order is already packed or shipped, the address can no longer be changed."
ecs_0045,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,"Hi, The pin code on my order is wrong and I need to correct the address. I order from your app regularly. Please advise.","Address updates are allowed only until shipment. Open the order details page and edit the address if that option is visible; once the order is shipped, the delivery address cannot be modified."
ecs_0046,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,"Hello, The pin code on my order is wrong and I need to correct the address. I am a first-time customer. What should I do?","Please try updating the address from My Orders while the order is still in Confirmed or Processing status. If the shipment has already started, the address cannot be changed anymore."
ecs_0047,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,The pin code on my order is wrong and I need to correct the address. I order from your app regularly. Please advise.,"Please try updating the address from My Orders while the order is still in Confirmed or Processing status. If the shipment has already started, the address cannot be changed anymore."
ecs_0048,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,"Good evening, I want to update my delivery address before the order ships. I use your website often. Please help.","Please try updating the address from My Orders while the order is still in Confirmed or Processing status. If the shipment has already started, the address cannot be changed anymore."
ecs_0049,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,The pin code on my order is wrong and I need to correct the address. I need support with this.,"You can change the delivery address only before the order is shipped. Please check My Orders for the edit option, and if the order is already packed or shipped, the address can no longer be changed."
ecs_0050,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,"Hello, I entered the wrong shipping address for order SS770718. How can I change it? I am a first-time customer. Please advise.","Address updates are allowed only until shipment. Open the order details page and edit the address if that option is visible; once the order is shipped, the delivery address cannot be modified."
ecs_0051,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,"Hello, The pin code on my order is wrong and I need to correct the address. I am a first-time customer. Kindly guide me.","Address updates are allowed only until shipment. Open the order details page and edit the address if that option is visible; once the order is shipped, the delivery address cannot be modified."
ecs_0052,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,"Hey support, The pin code on my order is wrong and I need to correct the address. I am a first-time customer. What should I do?","Address updates are allowed only until shipment. Open the order details page and edit the address if that option is visible; once the order is shipped, the delivery address cannot be modified."
ecs_0053,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,"Hi, I want to update my delivery address before the order ships. I am a first-time customer. I need support with this.","Please try updating the address from My Orders while the order is still in Confirmed or Processing status. If the shipment has already started, the address cannot be changed anymore."
ecs_0054,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,"Hello, The pin code on my order is wrong and I need to correct the address. This is my first order on your platform. Please advise.","You can change the delivery address only before the order is shipped. Please check My Orders for the edit option, and if the order is already packed or shipped, the address can no longer be changed."
ecs_0055,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,"Hi, Can I edit the address for my current order? It still looks like it has not been dispatched. This is my first order on your platform. Please advise.","Please try updating the address from My Orders while the order is still in Confirmed or Processing status. If the shipment has already started, the address cannot be changed anymore."
ecs_0056,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,"Hi, Can I edit the address for my current order? It still looks like it has not been dispatched. I use your website often. Can you check this for me?","Address updates are allowed only until shipment. Open the order details page and edit the address if that option is visible; once the order is shipped, the delivery address cannot be modified."
ecs_0057,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,"Good evening, I entered the wrong shipping address for order SS286340. How can I change it? Can you check this for me?","Please try updating the address from My Orders while the order is still in Confirmed or Processing status. If the shipment has already started, the address cannot be changed anymore."
ecs_0058,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,"Hi, The pin code on my order is wrong and I need to correct the address. What should I do?","You can change the delivery address only before the order is shipped. Please check My Orders for the edit option, and if the order is already packed or shipped, the address can no longer be changed."
ecs_0059,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,"Hey support, Can I edit the address for my current order? It still looks like it has not been dispatched. I use your website often. I need support with this.","Address updates are allowed only until shipment. Open the order details page and edit the address if that option is visible; once the order is shipped, the delivery address cannot be modified."
ecs_0060,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,"Hey support, I entered the wrong shipping address for order SS361662. How can I change it? I am a first-time customer. Please help.","Address updates are allowed only until shipment. Open the order details page and edit the address if that option is visible; once the order is shipped, the delivery address cannot be modified."
ecs_0061,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,"Hi, Can I edit the address for my current order? It still looks like it has not been dispatched. I am a first-time customer. Please advise.","You can change the delivery address only before the order is shipped. Please check My Orders for the edit option, and if the order is already packed or shipped, the address can no longer be changed."
ecs_0062,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,Can I edit the address for my current order? It still looks like it has not been dispatched. I order from your app regularly. Kindly guide me.,"Please try updating the address from My Orders while the order is still in Confirmed or Processing status. If the shipment has already started, the address cannot be changed anymore."
ecs_0063,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,"Hi, Can I edit the address for my current order? It still looks like it has not been dispatched. I order from your app regularly. Can you check this for me?","Please try updating the address from My Orders while the order is still in Confirmed or Processing status. If the shipment has already started, the address cannot be changed anymore."
ecs_0064,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,"Good morning, The pin code on my order is wrong and I need to correct the address. I use your website often. I need support with this.","Address updates are allowed only until shipment. Open the order details page and edit the address if that option is visible; once the order is shipped, the delivery address cannot be modified."
ecs_0065,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,"Hi, I want to update my delivery address before the order ships. I am a first-time customer. Please help.","Address updates are allowed only until shipment. Open the order details page and edit the address if that option is visible; once the order is shipped, the delivery address cannot be modified."
ecs_0066,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,"Hey support, I want to update my delivery address before the order ships. I use your website often. Please help.","You can change the delivery address only before the order is shipped. Please check My Orders for the edit option, and if the order is already packed or shipped, the address can no longer be changed."
ecs_0067,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,"Good evening, I want to update my delivery address before the order ships. I am a first-time customer. Can you check this for me?","You can change the delivery address only before the order is shipped. Please check My Orders for the edit option, and if the order is already packed or shipped, the address can no longer be changed."
ecs_0068,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,"Hey support, I want to update my delivery address before the order ships. I order from your app regularly. Kindly guide me.","You can change the delivery address only before the order is shipped. Please check My Orders for the edit option, and if the order is already packed or shipped, the address can no longer be changed."
ecs_0069,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,The pin code on my order is wrong and I need to correct the address. I order from your app regularly. I need support with this.,"You can change the delivery address only before the order is shipped. Please check My Orders for the edit option, and if the order is already packed or shipped, the address can no longer be changed."
ecs_0070,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,"Good evening, The pin code on my order is wrong and I need to correct the address. This is my first order on your platform. Can you check this for me?","Address updates are allowed only until shipment. Open the order details page and edit the address if that option is visible; once the order is shipped, the delivery address cannot be modified."
ecs_0071,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,"Hello, I want to update my delivery address before the order ships. Can you check this for me?","Please try updating the address from My Orders while the order is still in Confirmed or Processing status. If the shipment has already started, the address cannot be changed anymore."
ecs_0072,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,address_change,"Good evening, I want to update my delivery address before the order ships. I need support with this.","You can change the delivery address only before the order is shipped. Please check My Orders for the edit option, and if the order is already packed or shipped, the address can no longer be changed."
ecs_0081,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,"Good morning, Can you cancel order SS346205 even though the tracking page says it is shipped? Please advise.","Shipped orders cannot be canceled anymore. If you do not want the package, you can refuse delivery or place a return request within 7 days after delivery for eligible items."
ecs_0082,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,"Hi, My order for the running shoes has already shipped, but I want to cancel it now. I am a first-time customer. Kindly guide me.","Shipped orders cannot be canceled anymore. If you do not want the package, you can refuse delivery or place a return request within 7 days after delivery for eligible items."
ecs_0083,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,"Good evening, The order is already in transit and I need to cancel it. What are my options? I am a first-time customer. Can you check this for me?","Once an order has been shipped, it cannot be canceled in the system. You can refuse the delivery or accept it and start a return request within 7 days of delivery if the item is eligible."
ecs_0084,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,"Hey support, The order is already in transit and I need to cancel it. What are my options? I use your website often. Kindly guide me.",Cancellation is not available after shipment. Please refuse the parcel at delivery or submit a return request after delivery within the 7-day return window if the item is eligible.
ecs_0085,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,"Hello, The order is already in transit and I need to cancel it. What are my options? I use your website often. Can you check this for me?","Shipped orders cannot be canceled anymore. If you do not want the package, you can refuse delivery or place a return request within 7 days after delivery for eligible items."
ecs_0086,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,Can you cancel order SS937302 even though the tracking page says it is shipped? I order from your app regularly. Please help.,"Once an order has been shipped, it cannot be canceled in the system. You can refuse the delivery or accept it and start a return request within 7 days of delivery if the item is eligible."
ecs_0087,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,"Good evening, Can you cancel order SS501126 even though the tracking page says it is shipped? I order from your app regularly. What should I do?","Shipped orders cannot be canceled anymore. If you do not want the package, you can refuse delivery or place a return request within 7 days after delivery for eligible items."
ecs_0088,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,"Good evening, The order is already in transit and I need to cancel it. What are my options? I order from your app regularly. Please advise.","Once an order has been shipped, it cannot be canceled in the system. You can refuse the delivery or accept it and start a return request within 7 days of delivery if the item is eligible."
ecs_0089,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,"My order for the USB-C charger has already shipped, but I want to cancel it now. This is my first order on your platform. Can you check this for me?",Cancellation is not available after shipment. Please refuse the parcel at delivery or submit a return request after delivery within the 7-day return window if the item is eligible.
ecs_0090,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,"I no longer want the USB-C charger, but it is already out for delivery. I order from your app regularly. Please advise.","Once an order has been shipped, it cannot be canceled in the system. You can refuse the delivery or accept it and start a return request within 7 days of delivery if the item is eligible."
ecs_0091,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,The order is already in transit and I need to cancel it. What are my options? What should I do?,"Once an order has been shipped, it cannot be canceled in the system. You can refuse the delivery or accept it and start a return request within 7 days of delivery if the item is eligible."
ecs_0092,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,The order is already in transit and I need to cancel it. What are my options? I order from your app regularly. I need support with this.,"Shipped orders cannot be canceled anymore. If you do not want the package, you can refuse delivery or place a return request within 7 days after delivery for eligible items."
ecs_0093,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,Can you cancel order SS715870 even though the tracking page says it is shipped? I use your website often. Please help.,"Shipped orders cannot be canceled anymore. If you do not want the package, you can refuse delivery or place a return request within 7 days after delivery for eligible items."
ecs_0094,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,Can you cancel order SS178957 even though the tracking page says it is shipped? I use your website often. Kindly guide me.,"Once an order has been shipped, it cannot be canceled in the system. You can refuse the delivery or accept it and start a return request within 7 days of delivery if the item is eligible."
ecs_0095,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,"Good evening, I no longer want the Bluetooth speaker, but it is already out for delivery. I order from your app regularly. Please advise.",Cancellation is not available after shipment. Please refuse the parcel at delivery or submit a return request after delivery within the 7-day return window if the item is eligible.
ecs_0096,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,"Hi, My order for the skin care kit has already shipped, but I want to cancel it now. This is my first order on your platform. What should I do?",Cancellation is not available after shipment. Please refuse the parcel at delivery or submit a return request after delivery within the 7-day return window if the item is eligible.
ecs_0097,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,"Hi, Can you cancel order SS566297 even though the tracking page says it is shipped? This is my first order on your platform. Kindly guide me.","Shipped orders cannot be canceled anymore. If you do not want the package, you can refuse delivery or place a return request within 7 days after delivery for eligible items."
ecs_0098,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,"Hello, I no longer want the wireless earbuds, but it is already out for delivery. I am a first-time customer. Kindly guide me.",Cancellation is not available after shipment. Please refuse the parcel at delivery or submit a return request after delivery within the 7-day return window if the item is eligible.
ecs_0099,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,"Hello, My order for the air fryer has already shipped, but I want to cancel it now. What should I do?","Shipped orders cannot be canceled anymore. If you do not want the package, you can refuse delivery or place a return request within 7 days after delivery for eligible items."
ecs_0100,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,The order is already in transit and I need to cancel it. What are my options? I am a first-time customer. Please advise.,"Shipped orders cannot be canceled anymore. If you do not want the package, you can refuse delivery or place a return request within 7 days after delivery for eligible items."
ecs_0101,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,"Hello, I no longer want the wireless earbuds, but it is already out for delivery. I order from your app regularly. I need support with this.","Once an order has been shipped, it cannot be canceled in the system. You can refuse the delivery or accept it and start a return request within 7 days of delivery if the item is eligible."
ecs_0102,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,"Hi, Can you cancel order SS362801 even though the tracking page says it is shipped? I am a first-time customer. Kindly guide me.",Cancellation is not available after shipment. Please refuse the parcel at delivery or submit a return request after delivery within the 7-day return window if the item is eligible.
ecs_0103,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,"Hi, I no longer want the electric kettle, but it is already out for delivery. I am a first-time customer. Please advise.","Once an order has been shipped, it cannot be canceled in the system. You can refuse the delivery or accept it and start a return request within 7 days of delivery if the item is eligible."
ecs_0104,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,"I no longer want the air fryer, but it is already out for delivery. I am a first-time customer. Can you check this for me?",Cancellation is not available after shipment. Please refuse the parcel at delivery or submit a return request after delivery within the 7-day return window if the item is eligible.
ecs_0105,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,"Hello, Can you cancel order SS693418 even though the tracking page says it is shipped? Please help.","Once an order has been shipped, it cannot be canceled in the system. You can refuse the delivery or accept it and start a return request within 7 days of delivery if the item is eligible."
ecs_0106,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,"Hey support, I no longer want the gaming mouse, but it is already out for delivery. I use your website often. Kindly guide me.",Cancellation is not available after shipment. Please refuse the parcel at delivery or submit a return request after delivery within the 7-day return window if the item is eligible.
ecs_0107,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,"Hello, Can you cancel order SS970127 even though the tracking page says it is shipped? This is my first order on your platform. What should I do?",Cancellation is not available after shipment. Please refuse the parcel at delivery or submit a return request after delivery within the 7-day return window if the item is eligible.
ecs_0108,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,The order is already in transit and I need to cancel it. What are my options? This is my first order on your platform. Kindly guide me.,"Shipped orders cannot be canceled anymore. If you do not want the package, you can refuse delivery or place a return request within 7 days after delivery for eligible items."
ecs_0109,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,"Hello, The order is already in transit and I need to cancel it. What are my options? I use your website often. Please help.",Cancellation is not available after shipment. Please refuse the parcel at delivery or submit a return request after delivery within the 7-day return window if the item is eligible.
ecs_0110,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,"I no longer want the USB-C charger, but it is already out for delivery. I use your website often. What should I do?","Once an order has been shipped, it cannot be canceled in the system. You can refuse the delivery or accept it and start a return request within 7 days of delivery if the item is eligible."
ecs_0111,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,"Hello, I no longer want the smartwatch, but it is already out for delivery. What should I do?","Shipped orders cannot be canceled anymore. If you do not want the package, you can refuse delivery or place a return request within 7 days after delivery for eligible items."
ecs_0112,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_after_shipment,The order is already in transit and I need to cancel it. What are my options? I use your website often. Kindly guide me.,"Shipped orders cannot be canceled anymore. If you do not want the package, you can refuse delivery or place a return request within 7 days after delivery for eligible items."
ecs_0121,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,cancel_before_shipment,I want to cancel my order for the smartwatch before it ships. I need support with this.,"If the order status is still Confirmed or Processing, you can cancel it from My Orders. Once the cancellation is accepted, the refund starts automatically to the original payment method."
